Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C2, C23, C24, C29, C30, C38, C4, C41, C44, C45, C49, C5, C50, C51, C7, C8",C-0402,21,100nF,C307331
"C12, C3, C39, C42, C52, C53, C54, C6, C9",C-0402,9,10nF,C15195
"C15, C16, C36",C-1206,3,1uF,C2961023
"C17, C18, C25, C26, C27, C28, C35",C-0805,7,10uF,C440198
"C19, C20, C21, C22",C-0402,4,1nF,C1523
"C31, C32, C33, C34",C-1210,4,47uF,C76680
"C37, C40, C43",C-0402,3,1uF,C52923
"C46, C47, C48",C-0402,3,6.8pF,C1576
D1,SOT-23,1,PESD1CAN,C343993
"L1, L2, L3",L-7.1-6.6,3,22uH,C128694
"R1, R2, R3, R33, R34, R35, R36, R37, R38, R4",R-0402,10,0R,C17168
"R10, R9",R-0402,2,100R,C25076
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R31, R32, R5, R6",R-0402,16,1R,C25086
R23,R-0402,1,100K,C25741
"R24, R28",R-0402,2,200K,C25764
R25,R-0402,1,27K,C25771
"R26, R29, R30, R39, R40, R41, R51",R-0402,7,10K,C25744
R27,R-0402,1,1M,C26083
"R42, R43, R44, R45, R46, R47, R48, R49, R50",R-0402,9,22R,C25092
"R7, R8",R-0402,2,680R,C25130
U1,LQFP-48,1,STM32F103C8T6,C8734
U2,SOT-23-5,1,TLV70233,C26833
U3,Texas_R-PDSO-G8,1,SN65HVD485E,C27899
"U4, U8, U9",SOT-23-6,3,TTP233,C2890349
"U5, U6",SOT-23-6,2,TPS54200,C177139
U7,WSON10-2x3,1,TPS62175,C32097
Y1,CSTNE,1,CSTNE8M00,C907975
