Designator,Mid X,Mid Y,Rotation,Layer
C1,133.5,-85.4,90.0,top
C10,140.4,-98.0,180.0,top
C11,140.4,-97.1,180.0,top
C12,140.4,-96.2,180.0,top
C13,148.3,-80.10156,270.0,top
C14,148.3,-91.40156,270.0,top
C15,146.775,-78.20156,180.0,top
C16,146.8,-89.50156,180.0,top
C17,146.2,-80.10156,180.0,top
C18,146.2,-91.40156,180.0,top
C19,147.8,-86.80156,180.0,top
C2,134.4,-85.4,90.0,top
C20,147.8,-98.10156,180.0,top
C21,147.8,-85.00156,0.0,top
C22,147.8,-96.30156,0.0,top
C23,145.5,-85.00156,0.0,top
C24,145.5,-96.30156,0.0,top
C25,151.2,-85.40156,180.0,top
C26,155.2,-96.70156,0.0,top
C27,155.2,-85.40156,0.0,top
C28,151.2,-96.70156,180.0,top
C29,145.5,-85.90156,0.0,top
C3,135.3,-85.4,90.0,top
C30,145.5,-97.20156,0.0,top
C31,130.5,-93.10156,0.0,top
C32,130.5,-96.20156,0.0,top
C33,125.7,-96.20156,180.0,top
C34,125.7,-93.10156,180.0,top
C35,130.8,-78.10156,0.0,top
C36,126.8,-78.30156,180.0,top
C37,125.2,-90.40156,270.0,top
C38,124.3,-90.40156,270.0,top
C39,123.4,-90.40156,270.0,top
C4,134.2,-96.0,180.0,top
C40,123.4,-84.50156,90.0,top
C41,125.2,-84.50156,90.0,top
C42,124.3,-84.50156,90.0,top
C43,135.3,-83.6,270.0,top
C44,134.4,-83.6,270.0,top
C45,133.5,-83.6,270.0,top
C46,124.5,-102.9,270.0,top
C47,137.7,-102.9,270.0,top
C48,150.9,-102.9,270.0,top
C49,129.6,-102.5,0.0,top
C5,134.2,-95.1,180.0,top
C50,142.8,-101.5,0.0,top
C51,156.0,-101.5,0.0,top
C52,129.6,-101.5,0.0,top
C53,142.8,-102.5,0.0,top
C54,156.0,-102.5,0.0,top
C6,134.2,-94.2,180.0,top
C7,143.2,-85.0,0.0,top
C8,143.2,-85.9,0.0,top
C9,143.7,-86.8,0.0,top
D1,134.1,-80.2,0.0,top
L1,153.2,-81.00156,0.0,top
L2,153.2,-92.30156,0.0,top
L3,129.4,-87.20156,270.0,top
R1,147.8,-87.70156,0.0,top
R10,145.5,-99.00156,180.0,top
R11,155.0,-87.20156,270.0,top
R12,155.0,-98.50156,270.0,top
R13,154.1,-87.20156,270.0,top
R14,154.1,-98.50156,270.0,top
R15,153.2,-87.20156,270.0,top
R16,153.2,-98.50156,270.0,top
R17,152.3,-87.20156,270.0,top
R18,152.3,-98.50156,270.0,top
R19,151.4,-87.20156,270.0,top
R2,147.8,-99.00156,0.0,top
R20,151.4,-98.50156,270.0,top
R21,150.5,-87.20156,270.0,top
R22,150.5,-98.50156,270.0,top
R23,126.1,-82.60156,180.0,top
R24,126.1,-81.70156,0.0,top
R25,126.1,-80.80156,180.0,top
R26,126.1,-79.90156,0.0,top
R27,131.8,-80.10156,270.0,top
R28,131.8,-81.90156,270.0,top
R29,143.5,-81.5,90.0,top
R3,147.8,-85.90156,180.0,top
R30,143.5,-78.9,270.0,top
R31,134.8,-78.1,0.0,top
R32,134.8,-82.3,0.0,top
R33,129.6,-103.4,0.0,top
R34,142.8,-103.4,0.0,top
R35,156.0,-103.4,0.0,top
R36,129.6,-100.6,180.0,top
R37,142.8,-100.6,180.0,top
R38,156.0,-100.6,180.0,top
R39,124.5,-101.1,270.0,top
R4,147.8,-97.20156,180.0,top
R40,137.7,-101.1,270.0,top
R41,150.9,-101.1,270.0,top
R42,140.1,-84.0,270.0,top
R43,139.2,-84.0,270.0,top
R44,138.3,-84.0,270.0,top
R45,137.4,-84.0,270.0,top
R46,133.4,-91.8,270.0,top
R47,133.4,-89.3,270.0,top
R48,136.5,-84.0,270.0,top
R49,134.0,-86.8,0.0,top
R5,155.9,-87.20156,270.0,top
R50,138.6,-98.9,180.0,top
R51,140.4,-98.9,180.0,top
R6,155.9,-98.50156,270.0,top
R7,145.5,-86.80156,0.0,top
R8,145.5,-98.10156,0.0,top
R9,145.5,-87.70156,180.0,top
U1,139.0,-90.5,0.0,top
U2,124.3,-87.40156,270.0,top
U3,139.4,-80.2,180.0,top
U4,126.8,-102.0,180.0,top
U5,146.4,-82.80156,0.0,top
U6,146.4,-94.10156,0.0,top
U7,128.9,-80.70156,270.0,top
U8,140.0,-102.0,180.0,top
U9,153.2,-102.0,180.0,top
Y1,136.9,-97.0,0.0,top
